#miRNA	read_count	precursor	total	seq	seq(norm)
hsa-let-7a-5p	718511.00	hsa-let-7a-1	718511.00	718511.00	37128.20
hsa-let-7a-3p	2572.00	hsa-let-7a-1	2572.00	2572.00	132.91
hsa-let-7a-5p	719729.00	hsa-let-7a-2	719729.00	719729.00	37191.13
hsa-let-7a-2-3p	847.00	hsa-let-7a-2	847.00	847.00	43.77
hsa-let-7a-5p	718758.00	hsa-let-7a-3	718758.00	718758.00	37140.96
hsa-let-7a-3p	2556.00	hsa-let-7a-3	2556.00	2556.00	132.08
hsa-let-7b-5p	17116.00	hsa-let-7b	17116.00	17116.00	884.45
hsa-let-7b-3p	832.00	hsa-let-7b	832.00	832.00	42.99
hsa-let-7c-5p	2793.00	hsa-let-7c	2793.00	2793.00	144.32
hsa-let-7c-3p	19.00	hsa-let-7c	19.00	19.00	0.98
hsa-let-7d-5p	10931.00	hsa-let-7d	10931.00	10931.00	564.85
hsa-let-7d-3p	1599.00	hsa-let-7d	1599.00	1599.00	82.63
hsa-let-7e-5p	36510.00	hsa-let-7e	36510.00	36510.00	1886.61
hsa-let-7e-3p	323.00	hsa-let-7e	323.00	323.00	16.69
hsa-let-7f-5p	157301.00	hsa-let-7f-1	157301.00	157301.00	8128.34
hsa-let-7f-1-3p	307.00	hsa-let-7f-1	307.00	307.00	15.86
hsa-let-7f-5p	157649.00	hsa-let-7f-2	157649.00	157649.00	8146.32
hsa-let-7f-2-3p	840.00	hsa-let-7f-2	840.00	840.00	43.41
hsa-let-7g-5p	57641.00	hsa-let-7g	57641.00	57641.00	2978.53
hsa-let-7g-3p	238.00	hsa-let-7g	238.00	238.00	12.30
hsa-let-7i-5p	77817.00	hsa-let-7i	77817.00	77817.00	4021.10
hsa-let-7i-3p	625.00	hsa-let-7i	625.00	625.00	32.30
hsa-miR-1-3p	0.00	hsa-mir-1-1	0.00	0	0
hsa-miR-1-5p	0.00	hsa-mir-1-1	0.00	0	0
hsa-miR-1-3p	0.00	hsa-mir-1-2	0.00	0	0
hsa-miR-100-5p	2127349.00	hsa-mir-100	2127349.00	2127349.00	109928.21
hsa-miR-100-3p	46099.00	hsa-mir-100	46099.00	46099.00	2382.11
hsa-miR-101-5p	280.00	hsa-mir-101-1	280.00	280.00	14.47
hsa-miR-101-3p	39977.00	hsa-mir-101-1	39977.00	39977.00	2065.76
hsa-miR-101-3p	40635.00	hsa-mir-101-2	40635.00	40635.00	2099.76
hsa-miR-101-2-5p	10.00	hsa-mir-101-2	10.00	10.00	0.52
hsa-miR-10226	0.00	hsa-mir-10226	0.00	0	0
hsa-miR-10392-5p	8.00	hsa-mir-10392	8.00	8.00	0.41
hsa-miR-10392-3p	0.00	hsa-mir-10392	0.00	0	0
hsa-miR-10393-5p	0.00	hsa-mir-10393	0.00	0	0
hsa-miR-10393-3p	0.00	hsa-mir-10393	0.00	0	0
hsa-miR-10394-5p	0.00	hsa-mir-10394	0.00	0	0
hsa-miR-10394-3p	0.00	hsa-mir-10394	0.00	0	0
hsa-miR-10395-5p	0.00	hsa-mir-10395	0.00	0	0
hsa-miR-10395-3p	94.00	hsa-mir-10395	94.00	94.00	4.86
hsa-miR-10396a-5p	2.00	hsa-mir-10396a	2.00	2.00	0.10
hsa-miR-10396a-3p	2.00	hsa-mir-10396a	2.00	2.00	0.10
hsa-miR-10396a-5p	2.00	hsa-mir-10396b	2.00	2.00	0.10
hsa-miR-10396b-5p	2.00	hsa-mir-10396b	2.00	2.00	0.10
hsa-miR-10396b-3p	17.00	hsa-mir-10396b	17.00	17.00	0.88
hsa-miR-10397-5p	0.00	hsa-mir-10397	0.00	0	0
hsa-miR-10397-3p	0.00	hsa-mir-10397	0.00	0	0
hsa-miR-10398-5p	0.00	hsa-mir-10398	0.00	0	0
hsa-miR-10398-3p	0.00	hsa-mir-10398	0.00	0	0
hsa-miR-10399-5p	402.00	hsa-mir-10399	402.00	402.00	20.77
hsa-miR-10399-3p	419.00	hsa-mir-10399	419.00	419.00	21.65
hsa-miR-103a-3p	78875.00	hsa-mir-103a-1	78875.00	78875.00	4075.77
hsa-miR-103a-1-5p	3.00	hsa-mir-103a-1	3.00	3.00	0.16
hsa-miR-103a-2-5p	42.00	hsa-mir-103a-2	42.00	42.00	2.17
hsa-miR-103a-3p	79557.00	hsa-mir-103a-2	79557.00	79557.00	4111.01
hsa-miR-103b	0.00	hsa-mir-103b-1	0.00	0	0
hsa-miR-103b	0.00	hsa-mir-103b-2	0.00	0	0
hsa-miR-10400-5p	0.00	hsa-mir-10400	0.00	0	0
hsa-miR-10400-3p	0.00	hsa-mir-10400	0.00	0	0
hsa-miR-10401-5p	0.00	hsa-mir-10401	0.00	0	0
hsa-miR-10401-3p	867.00	hsa-mir-10401	867.00	867.00	44.80
hsa-miR-105-5p	2071.00	hsa-mir-105-1	2071.00	2071.00	107.02
hsa-miR-105-3p	513.00	hsa-mir-105-1	513.00	513.00	26.51
hsa-miR-105-5p	2071.00	hsa-mir-105-2	2071.00	2071.00	107.02
hsa-miR-105-3p	513.00	hsa-mir-105-2	513.00	513.00	26.51
hsa-miR-10522-5p	0.00	hsa-mir-10522	0.00	0	0
hsa-miR-10523-5p	64.00	hsa-mir-10523	64.00	64.00	3.31
hsa-miR-10524-5p	0.00	hsa-mir-10524	0.00	0	0
hsa-miR-10525-3p	2.00	hsa-mir-10525	2.00	2.00	0.10
hsa-miR-10526-3p	42.00	hsa-mir-10526	42.00	42.00	2.17
hsa-miR-10527-5p	69.00	hsa-mir-10527	69.00	69.00	3.57
hsa-miR-106a-5p	409.00	hsa-mir-106a	409.00	409.00	21.13
hsa-miR-106a-3p	4.00	hsa-mir-106a	4.00	4.00	0.21
hsa-miR-106b-5p	8765.00	hsa-mir-106b	8765.00	8765.00	452.92
hsa-miR-106b-3p	11066.00	hsa-mir-106b	11066.00	11066.00	571.82
hsa-miR-107	26657.00	hsa-mir-107	26657.00	26657.00	1377.47
hsa-miR-10a-5p	443720.00	hsa-mir-10a	443720.00	443720.00	22928.70
hsa-miR-10a-3p	672.00	hsa-mir-10a	672.00	672.00	34.72
hsa-miR-10b-5p	233323.00	hsa-mir-10b	233323.00	233323.00	12056.69
hsa-miR-10b-3p	161.00	hsa-mir-10b	161.00	161.00	8.32
hsa-miR-11181-5p	0.00	hsa-mir-11181	0.00	0	0
hsa-miR-11181-3p	0.00	hsa-mir-11181	0.00	0	0
hsa-miR-11399	0.00	hsa-mir-11399	0.00	0	0
hsa-miR-11400	0.00	hsa-mir-11400	0.00	0	0
hsa-miR-11401	0.00	hsa-mir-11401	0.00	0	0
hsa-miR-1178-5p	0.00	hsa-mir-1178	0.00	0	0
hsa-miR-1178-3p	0.00	hsa-mir-1178	0.00	0	0
hsa-miR-1179	23.00	hsa-mir-1179	23.00	23.00	1.19
hsa-miR-1180-5p	12.00	hsa-mir-1180	12.00	12.00	0.62
hsa-miR-1180-3p	3367.00	hsa-mir-1180	3367.00	3367.00	173.99
hsa-miR-1181	0.00	hsa-mir-1181	0.00	0	0
